,Date,Day Name,Day,Mouth,Year,Time,Latitude,Longitude,Zone,Slot_id,Legal,Covid,Lockdown
123,2018-01-03,Wednesday,3,1,2018,12:12,40.63628887,22.94611219,A,20548,1,0,0
124,2018-01-03,Wednesday,3,1,2018,12:16,40.63701139,22.94602224,A,20783,1,0,0
125,2018-01-03,Wednesday,3,1,2018,12:12,40.63619603,22.94588051,A,20548,1,0,0
126,2018-01-03,Wednesday,3,1,2018,12:12,40.63630078,22.94613156,A,20548,1,0,0
127,2018-01-03,Wednesday,3,1,2018,12:09,40.63644184,22.94626155,A,20548,1,0,0
128,2018-01-03,Wednesday,3,1,2018,12:09,40.63640824,22.94622388,A,20548,1,0,0
129,2018-01-03,Wednesday,3,1,2018,12:09,40.63637536,22.94620049,A,20548,1,0,0
130,2018-01-03,Wednesday,3,1,2018,12:09,40.6363665,22.94619174,A,20548,0,0,0
131,2018-01-03,Wednesday,3,1,2018,12:09,40.63634623,22.94617378,A,20548,0,0,0
132,2018-01-03,Wednesday,3,1,2018,12:10,40.63634623,22.94617378,A,20548,0,0,0
133,2018-01-03,Wednesday,3,1,2018,12:10,40.63638413,22.94605819,A,20548,1,0,0
134,2018-01-03,Wednesday,3,1,2018,12:10,40.63638567,22.94604517,A,20548,1,0,0
135,2018-01-03,Wednesday,3,1,2018,12:10,40.63637324,22.94596622,A,20548,1,0,0
136,2018-01-03,Wednesday,3,1,2018,12:10,40.63636201,22.94594176,A,20548,0,0,0
137,2018-01-03,Wednesday,3,1,2018,12:11,40.63625729,22.94596031,A,20548,1,0,0
138,2018-01-03,Wednesday,3,1,2018,12:12,40.63620397,22.94596601,A,20548,0,0,0
139,2018-01-03,Wednesday,3,1,2018,12:12,40.636321,22.94615978,A,20548,1,0,0
140,2018-01-03,Wednesday,3,1,2018,12:12,40.63619233,22.94597957,A,20548,0,0,0
141,2018-01-03,Wednesday,3,1,2018,12:12,40.63630207,22.94614369,A,20548,0,0,0
142,2018-01-03,Wednesday,3,1,2018,12:12,40.63630207,22.94614369,A,20548,0,0,0
143,2018-01-03,Wednesday,3,1,2018,12:12,40.63630207,22.94614369,A,20548,0,0,0
144,2018-01-03,Wednesday,3,1,2018,12:12,40.63630207,22.94614369,A,20548,1,0,0
145,2018-01-03,Wednesday,3,1,2018,12:12,40.63621779,22.94594055,A,20548,1,0,0
146,2018-01-03,Wednesday,3,1,2018,12:12,40.63630207,22.94614369,A,20548,0,0,0
147,2018-01-03,Wednesday,3,1,2018,12:12,40.63621206,22.94593061,A,20548,1,0,0
148,2018-01-03,Wednesday,3,1,2018,12:12,40.63630078,22.94613156,A,20548,0,0,0
149,2018-01-03,Wednesday,3,1,2018,12:16,40.63701761,22.94600372,A,20541,0,0,0
150,2018-01-03,Wednesday,3,1,2018,12:16,40.6370281,22.94598032,A,20541,0,0,0
151,2018-01-03,Wednesday,3,1,2018,12:16,40.6370281,22.94598032,A,20541,0,0,0
152,2018-01-03,Wednesday,3,1,2018,12:23,40.63740321,22.94532557,A,20541,0,0,0
153,2018-01-03,Wednesday,3,1,2018,12:23,40.63739563,22.94531791,A,20541,0,0,0
154,2018-01-03,Wednesday,3,1,2018,12:23,40.63739563,22.94531791,A,20541,0,0,0
155,2018-01-03,Wednesday,3,1,2018,12:23,40.63739563,22.94531791,A,20541,1,0,0
156,2018-01-03,Wednesday,3,1,2018,12:23,40.63739563,22.94531791,A,20541,0,0,0
157,2018-01-03,Wednesday,3,1,2018,12:23,40.63739563,22.94531791,A,20541,0,0,0
158,2018-01-03,Wednesday,3,1,2018,12:23,40.63740456,22.94531062,A,20541,1,0,0
159,2018-01-03,Wednesday,3,1,2018,12:23,40.63742376,22.94530003,A,20783,0,0,0
160,2018-01-03,Wednesday,3,1,2018,12:23,40.63742376,22.94530003,A,20783,0,0,0
161,2018-01-03,Wednesday,3,1,2018,12:23,40.63744526,22.94524841,A,20783,0,0,0
162,2018-01-03,Wednesday,3,1,2018,12:23,40.6374502,22.94521527,A,20783,1,0,0
163,2018-01-03,Wednesday,3,1,2018,12:24,40.63744773,22.94522747,A,20783,0,0,0
164,2018-01-03,Wednesday,3,1,2018,12:24,40.6374432,22.9451837,A,20783,0,0,0
165,2018-01-03,Wednesday,3,1,2018,12:25,40.63747258,22.94523337,A,20783,1,0,0
166,2018-01-03,Wednesday,3,1,2018,12:25,40.63746774,22.94521829,A,20783,0,0,0
167,2018-01-03,Wednesday,3,1,2018,12:26,40.63757497,22.94510373,A,20783,0,0,0
168,2018-01-03,Wednesday,3,1,2018,12:26,40.63752537,22.94513605,A,20783,0,0,0
169,2018-01-03,Wednesday,3,1,2018,12:27,40.63754547,22.94503101,A,20783,1,0,0
170,2018-01-03,Wednesday,3,1,2018,12:28,40.63757275,22.94499849,A,20783,0,0,0
171,2018-01-03,Wednesday,3,1,2018,14:43,40.62759639,22.94999629,A,27,1,0,0
172,2018-01-03,Wednesday,3,1,2018,14:44,40.6275899,22.95003442,A,17222,0,0,0
173,2018-01-03,Wednesday,3,1,2018,12:22,40.63740321,22.94532557,A,20541,0,0,0
174,2018-01-03,Wednesday,3,1,2018,12:22,40.6373986,22.94533586,A,20783,0,0,0
175,2018-01-03,Wednesday,3,1,2018,12:22,40.63736953,22.94537109,A,20783,1,0,0
176,2018-01-03,Wednesday,3,1,2018,12:22,40.63736953,22.94537109,A,20783,1,0,0
177,2018-01-03,Wednesday,3,1,2018,12:16,40.6370281,22.94598032,A,20541,0,0,0
178,2018-01-03,Wednesday,3,1,2018,12:16,40.6370281,22.94598032,A,20541,0,0,0
179,2018-01-03,Wednesday,3,1,2018,12:17,40.63701789,22.94597272,A,20541,1,0,0
180,2018-01-03,Wednesday,3,1,2018,12:17,40.63703415,22.9459475,A,20541,0,0,0
181,2018-01-03,Wednesday,3,1,2018,12:18,40.63713525,22.94585315,A,20783,1,0,0
182,2018-01-03,Wednesday,3,1,2018,12:18,40.6371442,22.94581635,A,20783,1,0,0
183,2018-01-03,Wednesday,3,1,2018,12:19,40.6372392,22.94567162,A,20783,1,0,0
184,2018-01-03,Wednesday,3,1,2018,12:19,40.637234,22.94560264,A,20783,0,0,0
185,2018-01-03,Wednesday,3,1,2018,12:19,40.63729969,22.94553749,A,20541,0,0,0
186,2018-01-03,Wednesday,3,1,2018,12:19,40.63727684,22.94554299,A,20541,0,0,0
187,2018-01-03,Wednesday,3,1,2018,15:27,40.62986408,22.95201941,A,66,0,0,0
188,2018-01-03,Wednesday,3,1,2018,12:21,40.63737132,22.94540127,A,20783,1,0,0
189,2018-01-03,Wednesday,3,1,2018,12:21,40.63733805,22.94547996,A,20783,0,0,0
190,2018-01-03,Wednesday,3,1,2018,12:21,40.6373196,22.94546848,A,20783,1,0,0
191,2018-01-03,Wednesday,3,1,2018,12:21,40.63731958,22.94545206,A,20783,1,0,0
192,2018-01-03,Wednesday,3,1,2018,12:22,40.63733074,22.94542151,A,20783,1,0,0
193,2018-01-03,Wednesday,3,1,2018,12:22,40.63733653,22.94540805,A,20783,0,0,0
194,2018-01-03,Wednesday,3,1,2018,12:22,40.63734402,22.94539459,A,20783,0,0,0
195,2018-01-03,Wednesday,3,1,2018,12:22,40.63736953,22.94537109,A,20783,1,0,0
196,2018-01-03,Wednesday,3,1,2018,12:22,40.63736953,22.94537109,A,20783,1,0,0
197,2018-01-03,Wednesday,3,1,2018,12:22,40.63736953,22.94537109,A,20783,1,0,0
198,2018-01-03,Wednesday,3,1,2018,12:22,40.63736953,22.94537109,A,20783,1,0,0
199,2018-01-03,Wednesday,3,1,2018,12:21,40.63733621,22.94549198,A,20783,0,0,0
200,2018-01-03,Wednesday,3,1,2018,15:29,40.62983581,22.9520211,A,17822,0,0,0
201,2018-01-03,Wednesday,3,1,2018,15:29,40.62998431,22.94393035,A,10,0,0,0
202,2018-01-03,Wednesday,3,1,2018,15:29,40.63004306,22.94392279,A,10,1,0,0
203,2018-01-03,Wednesday,3,1,2018,16:09,40.62783014,22.95039854,A,17254,0,0,0
204,2018-01-03,Wednesday,3,1,2018,16:09,40.62786457,22.95317928,A,17361,0,0,0
205,2018-01-03,Wednesday,3,1,2018,16:09,40.63398959,22.93941472,A,19163,0,0,0
206,2018-01-03,Wednesday,3,1,2018,16:09,40.6278668,22.95318962,A,17361,0,0,0
207,2018-01-03,Wednesday,3,1,2018,16:09,40.6278668,22.95318962,A,17361,0,0,0
208,2018-01-03,Wednesday,3,1,2018,16:10,40.62781932,22.95306911,A,17361,0,0,0
209,2018-01-03,Wednesday,3,1,2018,16:10,40.63393688,22.93914404,A,19163,0,0,0
210,2018-01-03,Wednesday,3,1,2018,16:11,40.63399256,22.93916985,A,19163,0,0,0
211,2018-01-03,Wednesday,3,1,2018,16:11,40.62772011,22.95308569,A,17361,0,0,0
212,2018-01-03,Wednesday,3,1,2018,16:11,40.62772011,22.95308569,A,17361,0,0,0
213,2018-01-03,Wednesday,3,1,2018,16:11,40.62775999,22.95036343,A,17254,0,0,0
214,2018-01-03,Wednesday,3,1,2018,16:12,40.63390833,22.93923126,A,19163,0,0,0
215,2018-01-03,Wednesday,3,1,2018,16:12,40.62766873,22.95308935,A,17361,0,0,0
216,2018-01-03,Wednesday,3,1,2018,16:12,40.62766873,22.95308935,A,17361,0,0,0
217,2018-01-03,Wednesday,3,1,2018,16:13,40.62767508,22.95307237,A,17361,0,0,0
218,2018-01-03,Wednesday,3,1,2018,16:13,40.6338733,22.93938723,A,19163,0,0,0
219,2018-01-03,Wednesday,3,1,2018,16:13,40.62767508,22.95307237,A,17361,0,0,0
220,2018-01-03,Wednesday,3,1,2018,16:13,40.62774463,22.95306797,A,17361,1,0,0
221,2018-01-03,Wednesday,3,1,2018,16:13,40.6276978,22.9530577,A,17361,1,0,0
222,2018-01-03,Wednesday,3,1,2018,16:13,40.62769467,22.95308647,A,17361,1,0,0
223,2018-01-03,Wednesday,3,1,2018,16:13,40.62769467,22.95308647,A,17361,1,0,0
224,2018-01-03,Wednesday,3,1,2018,16:08,40.63378996,22.93940085,A,19163,0,0,0
225,2018-01-03,Wednesday,3,1,2018,16:15,40.62779096,22.95034909,A,17222,0,0,0
226,2018-01-03,Wednesday,3,1,2018,16:08,40.63375315,22.93946748,A,19163,0,0,0
227,2018-01-03,Wednesday,3,1,2018,16:07,40.62794467,22.9531658,A,17361,1,0,0
228,2018-01-03,Wednesday,3,1,2018,16:02,40.62805324,22.9530987,A,17361,0,0,0
229,2018-01-03,Wednesday,3,1,2018,16:02,40.62805538,22.95308642,A,17361,0,0,0
230,2018-01-03,Wednesday,3,1,2018,16:02,40.62806149,22.95306913,A,17361,0,0,0
231,2018-01-03,Wednesday,3,1,2018,16:02,40.62806149,22.95306913,A,17361,0,0,0
232,2018-01-03,Wednesday,3,1,2018,16:02,40.63318744,22.94046798,A,19033,0,0,0
233,2018-01-03,Wednesday,3,1,2018,16:02,40.62807323,22.95308948,A,17361,0,0,0
234,2018-01-03,Wednesday,3,1,2018,16:02,40.62807074,22.95306152,A,17361,0,0,0
235,2018-01-03,Wednesday,3,1,2018,16:02,40.63319442,22.94047216,A,19033,1,0,0
236,2018-01-03,Wednesday,3,1,2018,16:02,40.62806629,22.95323398,A,17361,1,0,0
237,2018-01-03,Wednesday,3,1,2018,16:03,40.62806629,22.95323398,A,17361,0,0,0
238,2018-01-03,Wednesday,3,1,2018,16:03,40.62806629,22.95323398,A,17361,0,0,0
239,2018-01-03,Wednesday,3,1,2018,16:05,40.62783546,22.95034937,A,17222,0,0,0
240,2018-01-03,Wednesday,3,1,2018,16:05,40.62773776,22.95027132,A,17254,0,0,0
241,2018-01-03,Wednesday,3,1,2018,16:05,40.6279936,22.95322076,A,17361,0,0,0
242,2018-01-03,Wednesday,3,1,2018,16:05,40.62799284,22.95320275,A,17361,0,0,0
243,2018-01-03,Wednesday,3,1,2018,16:05,40.62799448,22.95318362,A,17361,0,0,0
244,2018-01-03,Wednesday,3,1,2018,16:05,40.62767896,22.95022796,A,17254,0,0,0
245,2018-01-03,Wednesday,3,1,2018,16:05,40.62799975,22.95319589,A,17361,0,0,0
246,2018-01-03,Wednesday,3,1,2018,16:06,40.62767079,22.95010197,A,17222,0,0,0
247,2018-01-03,Wednesday,3,1,2018,16:07,40.62799181,22.95318313,A,17361,0,0,0
248,2018-01-03,Wednesday,3,1,2018,16:07,40.62781335,22.95038553,A,17254,0,0,0
249,2018-01-03,Wednesday,3,1,2018,16:07,40.62793158,22.95317505,A,17361,0,0,0
250,2018-01-03,Wednesday,3,1,2018,16:15,40.62726962,22.95298078,A,17182,1,0,0
251,2018-01-03,Wednesday,3,1,2018,16:15,40.62722036,22.95296443,A,17182,0,0,0
252,2018-01-03,Wednesday,3,1,2018,16:15,40.62722036,22.95296443,A,17182,0,0,0
253,2018-01-03,Wednesday,3,1,2018,16:25,40.62686328,22.95284472,A,17182,0,0,0
254,2018-01-03,Wednesday,3,1,2018,16:26,40.62689214,22.95288022,A,17182,1,0,0
255,2018-01-03,Wednesday,3,1,2018,16:26,40.62773693,22.95011705,A,17222,0,0,0
256,2018-01-03,Wednesday,3,1,2018,16:27,40.62687187,22.95287893,A,17182,0,0,0
257,2018-01-03,Wednesday,3,1,2018,16:28,40.62680541,22.95284882,A,17182,0,0,0
258,2018-01-03,Wednesday,3,1,2018,16:29,40.6267861,22.95285143,A,17182,0,0,0
259,2018-01-03,Wednesday,3,1,2018,16:29,40.6267861,22.95285143,A,17182,1,0,0
260,2018-01-03,Wednesday,3,1,2018,16:31,40.62678332,22.94946692,A,17254,0,0,0
261,2018-01-03,Wednesday,3,1,2018,16:31,40.62677772,22.95287918,A,17182,0,0,0
262,2018-01-03,Wednesday,3,1,2018,16:31,40.62749251,22.94996714,A,27,0,0,0
263,2018-01-03,Wednesday,3,1,2018,16:32,40.62692862,22.94958708,A,17254,0,0,0
264,2018-01-03,Wednesday,3,1,2018,16:34,40.62676555,22.95280957,A,17182,0,0,0
265,2018-01-03,Wednesday,3,1,2018,16:34,40.62735708,22.94999612,A,17254,0,0,0
266,2018-01-03,Wednesday,3,1,2018,16:34,40.62693639,22.94957392,A,17254,1,0,0
267,2018-01-03,Wednesday,3,1,2018,16:36,40.62689116,22.94958658,A,17254,0,0,0
268,2018-01-03,Wednesday,3,1,2018,16:38,40.62684854,22.9494952,A,17254,1,0,0
269,2018-01-03,Wednesday,3,1,2018,16:39,40.62681455,22.94950885,A,17254,0,0,0
270,2018-01-03,Wednesday,3,1,2018,16:42,40.62689063,22.94945163,A,17254,0,0,0
271,2018-01-03,Wednesday,3,1,2018,16:43,40.62689231,22.94942992,A,17254,0,0,0
272,2018-01-03,Wednesday,3,1,2018,16:44,40.6269377,22.94953776,A,17254,0,0,0
273,2018-01-03,Wednesday,3,1,2018,16:44,40.62680764,22.94948217,A,17254,0,0,0
274,2018-01-03,Wednesday,3,1,2018,16:24,40.62691554,22.95289244,A,17182,0,0,0
275,2018-01-03,Wednesday,3,1,2018,16:24,40.62693088,22.95289634,A,17182,1,0,0
276,2018-01-03,Wednesday,3,1,2018,16:23,40.62769415,22.9502479,A,17254,0,0,0
